Puntos,Fecha,84805,84807.0,85042.0,85044.0,85533.0,85791.0,86067.0,86943.0,87237.0,87525.0,rainfall_(mm)
PS1,2018-11-20 00:00:00,-0.2277,-0.2809,-0.2772,-0.028,-0.2218,-0.042,-0.008,-0.503,-0.0198,-0.0329,141
PS2,2018-12-02 00:00:00,-0.0399,0.0029,-0.017,-0.0395,-0.0149,-0.0333,-0.1263,-0.0289,0.0327,0.2195,32
PS3,2018-12-14 00:00:00,0.0759,0.0649,0.0347,-0.0732,-0.024,-0.0284,-0.4188,0.0266,-0.0116,0.363,32
PS4,2018-12-26 00:00:00,0.0216,-0.0299,-0.1019,0.1275,-0.094,0.0608,0.1352,0.1247,0.1262,0.0656,32
PS5,2019-01-07 00:00:00,-0.0029,0.0807,0.0064,0.2948,-0.0158,0.1745,0.2241,0.2201,-0.1303,-0.0638,55.35
PS6,2019-01-19 00:00:00,0.3142,0.2316,0.255,0.4126,0.182,0.3117,0.4441,0.453,0.0959,0.273,55.35
PS7,2019-01-31 00:00:00,0.3202,0.4026,0.328,0.4291,0.2081,0.3278,0.3162,0.6097,0.3666,0.2688,55.35
PS8,2019-02-24 00:00:00,0.1531,0.2719,0.2522,0.3165,0.1892,0.4049,0.6032,0.596,0.2264,0.1729,83.64
PS9,2019-03-08 00:00:00,0.2975,0.4342,0.3765,0.4598,0.1513,0.2735,0.442,0.7309,0.5563,0.4589,59.19
PS10,2019-03-20 00:00:00,0.3418,0.4637,0.2588,0.5333,0.209,0.3568,0.4661,0.4964,0.3743,0.3297,59.19
PS11,2019-04-01 00:00:00,0.2054,0.3005,0.2464,0.2522,0.1251,0.2343,0.384,0.5502,0.2858,0.4789,101.2
PS12,2019-04-13 00:00:00,0.0854,0.1969,0.2112,0.0376,0.0399,0.0953,0.3239,0.5148,0.4761,0.3595,101.2
PS13,2019-04-25 00:00:00,-0.1002,0.021,-0.1031,0.0294,-0.2284,-0.1722,0.0271,-0.0512,-0.078,-0.0831,101.2
PS14,2019-05-07 00:00:00,-0.1606,-0.0111,-0.0937,0.0175,-0.2453,0.0077,0.1426,0.2339,0.4509,-0.1405,62.73
PS15,2019-05-19 00:00:00,-0.0224,0.0531,-0.2582,-0.0535,-0.3024,-0.2537,-0.2345,-0.1853,0.3388,-0.1333,62.73
PS16,2019-05-31 00:00:00,0.1015,0.152,0.0566,-0.0144,-0.2577,-0.1828,0.0672,0.0176,0.2773,0.1891,62.73
PS17,2019-06-12 00:00:00,-0.1184,0.0692,0.0376,0.035,-0.2896,-0.2087,-0.2213,0.0997,0.3235,0.0725,39.4
PS18,2019-07-06 00:00:00,-0.1028,0.0721,-0.12,0.0366,-0.4453,-0.3284,-0.2077,0.2685,0.604,0.0957,49.8
PS19,2019-08-23 00:00:00,-0.5178,-0.2098,-0.4827,-0.2126,-0.7106,-0.5865,-0.2928,0.0358,0.5017,-0.0413,28.53
PS20,2019-09-04 00:00:00,-0.1339,0.0019,-0.0761,-0.159,-0.4288,-0.4806,-0.4623,-0.0208,0.5948,0.0931,11.8
PS21,2019-09-16 00:00:00,0.0891,0.3748,0.2552,0.1699,-0.2529,-0.2668,-0.2135,0.2848,0.6324,0.3623,11.8
PS22,2019-09-28 00:00:00,0.0846,0.2837,0.1108,0.1057,-0.1825,-0.2538,-0.0873,0.1828,0.6979,0.3045,11.8
PS23,2019-10-10 00:00:00,0.1305,0.2972,0.2018,-0.1487,0.134,-0.0845,-0.031,0.4673,0.9475,0.3872,47.87
PS24,2019-10-22 00:00:00,0.1348,0.2325,0.1426,0.2267,-0.1639,-0.1423,-0.1328,0.2881,0.0104,0.2646,47.87
PS25,2019-11-03 00:00:00,0.395,0.5704,0.5479,0.4828,-0.0485,-0.0862,-0.1334,0.2729,0.7834,0.7706,61.2
PS26,2019-11-15 00:00:00,0.4045,0.6385,0.535,0.5522,0.1656,0.1149,0.0039,0.4256,0.8131,0.7666,61.2
PS27,2019-11-27 00:00:00,0.5446,0.7854,0.6275,0.6611,0.0929,0.1169,-0.0296,0.386,1.0295,0.4195,61.2
PS28,2019-12-09 00:00:00,0.2132,0.4343,0.1586,0.3307,-0.1052,-0.2147,-0.1749,0.1943,0.6608,0.1891,148
PS29,2019-12-21 00:00:00,0.3227,0.4547,0.2866,0.383,-0.1719,-0.3342,-0.2674,-0.0193,0.4594,0.2491,148
PS30,2020-01-02 00:00:00,0.0854,0.3181,0.1346,0.2711,-0.3093,-0.4163,-0.4106,-0.0218,0.5068,0.3709,68.27
PS31,2020-01-14 00:00:00,0.175,0.3982,0.2131,0.3382,-0.3201,-0.4838,-0.3399,-0.0702,0.6984,0.1383,68.27
PS32,2020-01-26 00:00:00,-0.0809,0.4264,0.0017,0.4548,-0.5156,-0.5781,-0.5441,-0.3073,0.4518,0.0289,68.27
PS33,2020-02-07 00:00:00,0.1188,0.3319,0.1553,0.3357,-0.3633,-0.5163,-0.6595,0.1473,1.0527,0.2299,109.73
PS34,2020-02-19 00:00:00,0.2738,0.5456,0.3857,0.6779,-0.1395,-0.2925,-0.4182,0.2233,1.0392,0.4436,109.73
PS35,2020-03-02 00:00:00,0.2145,0.401,0.2724,0.5994,-0.3692,-0.6635,-0.6939,0.0704,0.8135,0.2101,48.67
PS36,2020-03-14 00:00:00,0.3219,0.6389,0.3367,0.6502,-0.3357,-0.7115,-0.5728,0.2632,0.9889,0.4201,48.67
PS37,2020-03-26 00:00:00,0.3243,0.6274,0.3501,0.8221,-0.5193,-0.9194,-0.7898,-0.0141,0.9931,0.5161,48.67
PS38,2020-04-07 00:00:00,0.2535,0.485,0.1974,0.6139,-0.4625,-0.8518,-0.6913,0.3905,1.3436,0.5875,67.2
PS39,2020-04-19 00:00:00,0.2171,0.6624,0.2837,0.7139,-0.5098,-0.9536,-0.8082,0.4198,0.6616,0.4863,67.2
PS40,2020-05-01 00:00:00,0.0893,0.5522,0.0401,0.536,-0.7169,-1.1618,-0.9214,0.574,1.0384,0.3067,29.6
PS41,2020-05-13 00:00:00,0.1892,0.5703,0.1916,0.5697,-0.6757,-1.2596,-0.9806,0.4096,0.8065,0.3737,29.6
PS42,2020-05-25 00:00:00,0.146,0.5289,0.1645,0.6004,-0.6902,-1.1716,-0.9126,0.414,0.8811,0.307,29.6
PS43,2020-06-06 00:00:00,0.097,0.4205,0.0834,0.5,-0.7766,-1.2442,-1.174,0.732,0.6745,0.1371,47.73
PS44,2020-06-18 00:00:00,0.0066,0.3516,-0.0743,0.2626,-0.9531,-1.5032,-1.2949,0.3291,0.5291,-0.0175,47.73
PS45,2020-06-30 00:00:00,-0.1437,0.2949,-0.0852,0.3718,-1.0516,-1.5977,-1.3705,0.1388,0.6328,0.0606,47.73
PS46,2020-07-12 00:00:00,0.1544,0.4489,0.0818,0.3982,-0.9454,-1.5035,-1.1477,0.0617,0.58,0.0767,48.93
PS47,2020-07-24 00:00:00,0.0308,0.3908,0.0459,0.4433,-0.908,-1.4692,-1.1795,0.6325,0.7022,0.1989,48.93
PS48,2020-08-05 00:00:00,0.0063,0.4981,0.1012,0.7837,-1.0732,-1.5619,-1.2969,0.8107,0.7463,0.2756,7
PS49,2020-08-17 00:00:00,0.1588,0.5744,0.1823,0.3472,-0.9644,-1.5706,-1.3346,0.6102,0.6219,0.4266,7
PS50,2020-08-29 00:00:00,0.1407,0.6399,0.148,0.6657,-1.0406,-1.5542,-1.5738,0.3208,0.6163,0.3022,7
PS51,2020-09-10 00:00:00,-0.026,0.473,-0.0586,0.4957,-1.0259,-1.6211,-1.3837,0.6148,0.9553,0.2712,47.53
PS52,2020-09-22 00:00:00,0.2197,0.6253,0.0698,0.6286,-1.1034,-1.663,-1.5754,0.1647,0.255,-0.2701,47.53
PS53,2020-10-04 00:00:00,0.0551,0.3978,-0.0105,0.3987,-0.9529,-1.5982,-1.2762,0.6845,0.505,0.1395,17.93
PS54,2020-10-16 00:00:00,-0.1063,0.306,-0.0591,0.076,-1.1547,-1.8887,-1.3926,0.2494,0.0978,0.1351,17.93
PS55,2020-10-28 00:00:00,0.3467,0.9282,0.4423,0.772,-0.8078,-1.474,-1.0708,0.6602,0.6565,0.5234,17.93
PS56,2020-11-09 00:00:00,0.2788,0.5612,0.2251,0.4221,-0.8146,-1.425,-1.1624,0.6603,0.8737,0.4557,46.27
PS57,2020-11-21 00:00:00,0.2578,0.816,0.3692,0.68,-0.819,-1.2733,-0.9627,0.7547,0.8452,0.5738,46.27
PS58,2020-12-03 00:00:00,0.2003,0.612,0.1092,0.5979,-0.9811,-1.4945,-1.088,0.6231,0.6396,0.3123,83.8
PS59,2020-12-15 00:00:00,0.3257,0.6958,0.3166,0.5878,-0.836,-1.4513,-1.0464,0.8888,1.0608,0.6091,83.8
PS60,2020-12-27 00:00:00,0.1959,0.5916,0.0091,0.5414,-0.9715,-1.6737,-1.1328,0.5085,0.7038,0.0505,83.8
PS61,2021-01-08 00:00:00,0.3597,0.7945,0.3599,0.5965,-0.5967,-1.401,-0.7685,0.414,0.9747,0.4763,55.73
PS62,2021-01-20 00:00:00,0.1167,0.5695,0.1258,0.6518,-0.6724,-1.4625,-0.869,0.2735,0.8292,0.2665,55.73
PS63,2021-02-01 00:00:00,0.3155,0.6474,0.2588,0.5577,-0.8093,-1.3587,-0.8636,0.7329,0.9315,0.4419,58.93
PS64,2021-02-13 00:00:00,0.3448,0.8196,0.3471,0.6626,-0.8588,-1.2998,-0.8923,0.4233,1.0563,0.4618,58.93
PS65,2021-02-25 00:00:00,0.2088,0.6739,0.1438,0.7439,-1.0862,-1.5262,-0.9599,0.4738,0.9052,0.5064,58.93
PS66,2021-03-09 00:00:00,0.3895,0.8809,0.3088,1.0474,-0.7829,-1.4244,-0.7864,0.3639,1.0818,0.4586,213.47
PS67,2021-03-21 00:00:00,-0.1292,0.8274,-0.2183,1.1107,-2.2385,-1.7865,-0.8619,0.1428,1.0668,0.5264,213.47
PS68,2021-04-02 00:00:00,0.2924,1.3848,0.0287,1.6964,-0.8109,-0.8731,-0.5243,0.409,1.1065,0.5156,36.1
PS69,2021-04-14 00:00:00,-0.0258,1.379,-0.2277,1.6427,-1.3972,-1.6664,-0.9123,0.2947,0.7712,0.3127,36.1
PS70,2021-04-26 00:00:00,0.3294,1.4258,0.0711,1.7403,-0.7679,-1.7046,-0.564,0.4786,1.1038,0.5809,36.1
