Puntos,Fecha,53763,53764.0,53834.0,53897.0,53948.0,54092.0,54172.0,54361.0,54540.0,54622.0,rainfall_(mm)
PS1,2015-11-30 00:00:00,0.0395,0.1069,0.2015,-0.0033,-0.0033,-0.0033,0.2839,0.236,0.2174,0.3336,18.73
PS2,2015-12-24 00:00:00,-0.0882,-0.0049,0.0558,-0.3386,-0.3529,-0.2126,0.003,-0.0565,0.0076,0.0126,28.95
PS3,2016-01-17 00:00:00,0.003,0.1059,0.1008,-0.3381,-0.4786,-0.381,-0.1216,-0.1112,-0.0036,0.2922,51.91
PS4,2016-02-10 00:00:00,0.0604,0.1517,0.0956,-0.2887,-0.3314,-0.1234,-0.0172,0.0064,0.3987,0.3597,78.53
PS5,2016-03-05 00:00:00,0.1951,0.2813,0.3255,-0.223,-0.3029,-0.0229,0.2552,0.081,0.4739,-0.021,110
PS6,2016-03-29 00:00:00,0.4374,0.4797,0.515,-0.0408,-0.1965,0.1845,0.5077,0.32,0.8022,0.2404,110
PS7,2016-04-22 00:00:00,0.4384,0.4818,0.5475,0.0058,-0.1855,0.1992,0.6054,0.4892,0.7584,0.2764,107.41
PS8,2016-05-04 00:00:00,0.4323,0.4621,0.5075,-0.0466,-0.2634,0.1309,0.5186,0.36,0.795,0.2837,42.42
PS9,2016-05-16 00:00:00,0.4388,0.4539,0.4951,-0.0388,-0.238,0.1787,0.3895,0.5029,0.733,0.5183,42.42
PS10,2016-05-28 00:00:00,0.194,0.1997,0.2621,-0.1405,-0.3965,0.0706,0.4744,0.2085,0.7648,0.6206,42.42
PS11,2016-06-09 00:00:00,0.2166,0.2521,0.3029,-0.0828,-0.404,0.0928,0.3061,0.4307,0.7445,0.5234,45.47
PS12,2016-07-03 00:00:00,0.0748,0.1514,0.215,-0.2467,-0.5178,-0.0941,0.1674,0.1121,0.5698,0.4178,48.33
PS13,2016-07-27 00:00:00,0.2002,0.2943,0.3668,-0.0508,-0.4295,-0.0362,0.1347,0.3778,0.7193,0.5447,48.33
PS14,2016-08-20 00:00:00,0.2059,0.3044,0.3492,-0.1351,-0.512,-0.2476,0.0219,0.2459,0.7222,0.6991,15.57
PS15,2016-09-13 00:00:00,0.5042,0.6474,0.666,0.2651,-0.0696,-0.0076,0.1404,0.4002,0.89,0.7149,26.21
PS16,2016-10-01 00:00:00,0.7697,0.9153,0.9289,0.2665,0.046,0.016,0.3861,0.394,1.0323,0.7035,27.15
PS17,2016-10-13 00:00:00,0.8248,0.9504,0.9508,0.4332,0.0795,0.0657,0.3718,0.5875,1.091,0.8722,27.15
PS18,2016-10-25 00:00:00,1.0642,1.2034,1.2568,0.7355,0.3085,0.2545,0.4812,0.6663,1.2174,0.7102,27.15
PS19,2016-11-06 00:00:00,0.8396,0.9203,0.9391,0.4387,0.0822,0.0383,0.0847,0.6339,1.0851,0.8216,20.200000000000003
PS20,2016-11-18 00:00:00,0.9253,0.963,0.9365,0.5244,0.1915,0.0604,-0.0118,0.5613,1.0927,0.6948,20.200000000000003
PS21,2016-11-30 00:00:00,0.7593,0.8973,0.8693,0.4378,-0.0303,-0.0487,-0.1745,0.5011,1.0557,0.5407,20.200000000000003
PS22,2016-12-12 00:00:00,0.9279,0.9949,1.0162,0.575,0.1695,0.0863,-0.2119,0.4941,1.0705,0.6521,81.9
